block_timestamp,from_address,to_address,value,Label
2024-08-27 19:27:47.000000 UTC,0x82cd9d14ea80ab17d81df310e8a42bdd9bbebcdf,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,100,0
2024-08-27 19:27:47.000000 UTC,0xaa573f94bcca0a8083846430ba5120eddbfca055,0x111111125421ca6dc452d289314280a0f8842a65,50,1
2024-08-27 19:27:47.000000 UTC,0x1440ec793ae50fa046b95bfeca5af475b6003f9e,0xdac17f958d2ee523a2206206994597c13d831ec7,0,0
2024-08-27 19:27:47.000000 UTC,0xb472bfb31bd0ddb554c9ecfb7625936ea424075e,0xc381ff2c6f007eb2dac3e468fd65760735a02180,2.13378E+16,1
2024-08-27 19:27:47.000000 UTC,0xaf8dc43f9ab42b3c235ee7596471e3b8029ef6e3,0x00b19a5200a100e5fc4c9800772f4d002f218400,0,1
2024-08-27 19:27:47.000000 UTC,0x5dfa24b7c505c977517f8cbe3a84a0b3ede99940,0xb0999731f7c2581844658a9d2ced1be0077b7397,1E+16,1
2024-08-27 19:27:47.000000 UTC,0xf20894d077d50f016082fad29fb3201388145bae,0x8c162e274d7bc5930c484a30639b9ef0f8bf57e4,1E+18,1
2024-08-27 19:27:47.000000 UTC,0xc7640068f0977f4da290e100318985d1dab50e19,0xac3e018457b222d93114458476f3e3416abbe38f,0,1
2024-08-27 19:27:47.000000 UTC,0x23bcbb249409e0f588affd181544da4bd6916b65,0x18c4bf7c470069b9d18b6a5670e457de3983c299,2.03333E+16,1
2024-08-27 19:27:47.000000 UTC,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0,0
2024-08-27 19:27:47.000000 UTC,0xe93685f3bba03016f02bd1828badd6195988d950,0xc02ab410f0734efa3f14628780e6e695156024c2,0,0
2024-08-27 19:27:47.000000 UTC,0xf2846381f4d90334c6ba8e0d98247a5c321cfd94,0x49642110b712c1fd7261bc074105e9e44676c68f,0,1
2024-08-27 19:27:47.000000 UTC,0xb5bda191a9e4c6ee21a64e9e0762690fd6bc89b3,0xcd62ef1c55d3e391fd23aad3bc1c957d7603c932,3.25115E+13,0
2024-08-27 19:27:47.000000 UTC,0xd72cd83afba0dcfeff95d463adcb2b8def6aa623,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0,0
2024-08-27 19:27:47.000000 UTC,0x25bcc14210978b6e31ce2583e0548f3f66494cd1,0x605a18e89a4a90a1dccff7232c1573cf8d64bfe7,6.66E+15,0
2024-08-27 19:27:47.000000 UTC,0xe651e0da71e78e6b7a6b76a2b512ea1f4b6f57f0,0xdb5df380b9e4994c64a0c9c150d8b64e264341aa,1.93141E+14,1
2024-08-27 19:27:47.000000 UTC,0xa1de880e8b802d73cceaa8525d1ad0a7fe9c7577,0xdac17f958d2ee523a2206206994597c13d831ec7,0,0
2024-08-27 19:27:47.000000 UTC,0xb8ff877ed78ba520ece21b1de7843a8a57ca47cb,0xa59ba433ac34d2927232918ef5b2eaafcf130ba5,0,0
2024-08-27 19:27:47.000000 UTC,0xc1b634853cb333d3ad8663715b08f41a3aec47cc,0x1c479675ad559dc151f6ec7ed3fbf8cee79582b6,0,0
2024-08-27 19:27:47.000000 UTC,0x500e0a589d2dcc37fcb3f9a0cd84db4feb4d26ab,0x881d40237659c251811cec9c364ef91dc08d300c,1.1E+16,0
2024-08-27 19:27:47.000000 UTC,0xd579af02649a59136576f2c74b6817cb08618c14,0x75ab076a00d76478e5fcc21cfd95113802f06d23,0,0
2024-08-27 19:27:47.000000 UTC,0xf70da97812cb96acdf810712aa562db8dfa3dbef,0x8c99a055f4498671786d2ddbbc4eb36e8f437106,3.00299E+15,0
2024-08-27 19:27:47.000000 UTC,0xe311db83e8aafc505fff246e361f8230c04dbc80,0x676a62d2e90791526b2330e35c3ca8477e89e5bd,3.80108E+17,1
2024-08-27 19:27:47.000000 UTC,0xb667180d0599575a12a7dca6859ef1c6eadb7a20,0x7de524ef0823bcd6622a48876083f2c2b3ed0f2b,4E+15,0
